,ID,date,Tm,home,won,PG,SG,SF,PF,C
5632,2018_20171112_OKC,12/11/2017,OKC,1.0,True,Russell Westbrook,Andre Roberson,Paul George,Jerami Grant,Dakari Johnson
5633,2018_20171113_ORL,13/11/2017,ORL,0.0,False,Elfrid Payton,Terrence Ross,Evan Fournier,Aaron Gordon,Nikola Vucevic
5634,2018_20171113_GSW,13/11/2017,GSW,1.0,True,Shaun Livingston,Klay Thompson,Kevin Durant,Draymond Green,Kevon Looney
5635,2018_20171113_PHI,13/11/2017,PHI,0.0,True,Ben Simmons,J.J. Redick,Robert Covington,Dario Saric,Joel Embiid
5636,2018_20171113_LAC,13/11/2017,LAC,1.0,False,Jawun Evans,Lou Williams,Wesley Johnson,Blake Griffin,DeAndre Jordan
5637,2018_20171113_MEM,13/11/2017,MEM,0.0,False,Mike Conley,Ben McLemore,James Ennis III,Brandan Wright,Marc Gasol
5638,2018_20171113_MIL,13/11/2017,MIL,1.0,True,Eric Bledsoe,Tony Snell,Khris Middleton,Giannis Antetokounmpo,John Henson
5639,2018_20171113_ATL,13/11/2017,ATL,0.0,False,Dennis Schroder,Kent Bazemore,Taurean Prince,John Collins,Dewayne Dedmon
5640,2018_20171113_NOP,13/11/2017,NOP,1.0,True,Jameer Nelson,Jrue Holiday,Darius Miller,Anthony Davis,DeMarcus Cousins
5641,2018_20171113_CLE,13/11/2017,CLE,0.0,True,Kyle Korver,J.R. Smith,Jae Crowder,LeBron James,Channing Frye
5642,2018_20171113_NYK,13/11/2017,NYK,1.0,False,Frank Ntilikina,Tim Hardaway Jr.,Doug McDermott,Kristaps Porzingis,Enes Freedom
5643,2018_20171113_LAL,13/11/2017,LAL,0.0,True,Lonzo Ball,Kentavious Caldwell-Pope,Brandon Ingram,Kyle Kuzma,Brook Lopez
5644,2018_20171113_PHO,13/11/2017,PHO,1.0,False,Tyler Ulis,Devin Booker,T.J. Warren,Marquese Chriss,Tyson Chandler
5645,2018_20171113_DEN,13/11/2017,DEN,0.0,False,Jamal Murray,Will Barton,Wilson Chandler,Paul Millsap,Nikola Jokic
5646,2018_20171113_POR,13/11/2017,POR,1.0,True,Damian Lillard,CJ McCollum,Evan Turner,Noah Vonleh,Jusuf Nurkic
5647,2018_20171113_MIN,13/11/2017,MIN,0.0,True,Jeff Teague,Jimmy Butler,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns
5648,2018_20171113_UTA,13/11/2017,UTA,1.0,False,Ricky Rubio,Donovan Mitchell,Joe Ingles,Jonas Jerebko,Derrick Favors
5649,2018_20171113_SAC,13/11/2017,SAC,0.0,False,De'Aaron Fox,Buddy Hield,Justin Jackson,Skal Labissiere,Willie Cauley-Stein
5650,2018_20171113_WAS,13/11/2017,WAS,1.0,True,John Wall,Bradley Beal,Otto Porter Jr.,Mike Scott,Marcin Gortat
5651,2018_20171114_BOS,14/11/2017,BOS,0.0,True,Kyrie Irving,Marcus Smart,Jayson Tatum,Marcus Morris,Al Horford
5652,2018_20171114_BRK,14/11/2017,BRK,1.0,False,Spencer Dinwiddie,Allen Crabbe,Rondae Hollis-Jefferson,DeMarre Carroll,Jarrett Allen
5653,2018_20171114_SAS,14/11/2017,SAS,0.0,True,Patty Mills,Danny Green,Kyle Anderson,Rudy Gay,LaMarcus Aldridge
5654,2018_20171114_DAL,14/11/2017,DAL,1.0,False,Dennis Smith Jr.,Yogi Ferrell,Wesley Matthews,Harrison Barnes,Dirk Nowitzki
5655,2018_20171114_TOR,14/11/2017,TOR,0.0,True,Kyle Lowry,DeMar DeRozan,OG Anunoby,Serge Ibaka,Jonas Valanciunas
5656,2018_20171114_HOU,14/11/2017,HOU,1.0,False,Bobby Brown,James Harden,Trevor Ariza,Ryan Anderson,Clint Capela
5657,2018_20171115_SAC,15/11/2017,SAC,0.0,False,George Hill,Bogdan Bogdanovic,Justin Jackson,Zach Randolph,Willie Cauley-Stein
5658,2018_20171115_ATL,15/11/2017,ATL,1.0,True,Dennis Schroder,Kent Bazemore,Taurean Prince,John Collins,Dewayne Dedmon
5659,2018_20171115_CLE,15/11/2017,CLE,0.0,True,J.R. Smith,Iman Shumpert,Jae Crowder,LeBron James,Kevin Love
5660,2018_20171115_CHO,15/11/2017,CHO,1.0,False,Kemba Walker,Nicolas Batum,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard
5661,2018_20171115_PHI,15/11/2017,PHI,0.0,True,Ben Simmons,J.J. Redick,Robert Covington,Dario Saric,Joel Embiid
5662,2018_20171115_LAL,15/11/2017,LAL,1.0,False,Lonzo Ball,Kentavious Caldwell-Pope,Brandon Ingram,Kyle Kuzma,Julius Randle
5663,2018_20171115_IND,15/11/2017,IND,0.0,True,Darren Collison,Victor Oladipo,Bojan Bogdanovic,Thaddeus Young,Myles Turner
5664,2018_20171115_MEM,15/11/2017,MEM,1.0,False,Tyreke Evans,Ben McLemore,Chandler Parsons,Brandan Wright,Marc Gasol
5665,2018_20171115_WAS,15/11/2017,WAS,0.0,True,John Wall,Bradley Beal,Otto Porter Jr.,Markieff Morris,Marcin Gortat
5666,2018_20171115_MIA,15/11/2017,MIA,1.0,False,Goran Dragic,Dion Waiters,Josh Richardson,James Johnson,Hassan Whiteside
5667,2018_20171115_DET,15/11/2017,DET,0.0,False,Ish Smith,Avery Bradley,Stanley Johnson,Tobias Harris,Andre Drummond
5668,2018_20171115_MIL,15/11/2017,MIL,1.0,True,Eric Bledsoe,Tony Snell,Khris Middleton,Giannis Antetokounmpo,John Henson
5669,2018_20171115_SAS,15/11/2017,SAS,0.0,False,Patty Mills,Danny Green,Kyle Anderson,Rudy Gay,Pau Gasol
5670,2018_20171115_MIN,15/11/2017,MIN,1.0,True,Jeff Teague,Jimmy Butler,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns
5671,2018_20171115_TOR,15/11/2017,TOR,0.0,True,Kyle Lowry,DeMar DeRozan,C.J. Miles,Serge Ibaka,Jonas Valanciunas
5672,2018_20171115_NOP,15/11/2017,NOP,1.0,False,Jameer Nelson,Jrue Holiday,Dante Cunningham,Anthony Davis,DeMarcus Cousins
5673,2018_20171115_UTA,15/11/2017,UTA,0.0,False,Ricky Rubio,Donovan Mitchell,Joe Ingles,Jonas Jerebko,Derrick Favors
5674,2018_20171115_NYK,15/11/2017,NYK,1.0,True,Jarrett Jack,Courtney Lee,Doug McDermott,Kristaps Porzingis,Enes Freedom
5675,2018_20171115_CHI,15/11/2017,CHI,0.0,False,Kris Dunn,Denzel Valentine,Quincy Pondexter,Lauri Markkanen,Robin Lopez
5676,2018_20171115_OKC,15/11/2017,OKC,1.0,True,Russell Westbrook,alex Abrines,Paul George,Jerami Grant,Dakari Johnson
5677,2018_20171115_ORL,15/11/2017,ORL,0.0,False,Elfrid Payton,Terrence Ross,Evan Fournier,Aaron Gordon,Nikola Vucevic
5678,2018_20171115_POR,15/11/2017,POR,1.0,True,Damian Lillard,CJ McCollum,Maurice Harkless,Noah Vonleh,Jusuf Nurkic
5679,2018_20171116_GSW,16/11/2017,GSW,0.0,False,Stephen Curry,Klay Thompson,Kevin Durant,Draymond Green,Zaza Pachulia
5680,2018_20171116_BOS,16/11/2017,BOS,1.0,True,Kyrie Irving,Jaylen Brown,Jayson Tatum,Marcus Morris,Al Horford
5681,2018_20171116_HOU,16/11/2017,HOU,0.0,True,Chris Paul,James Harden,Trevor Ariza,P.J. Tucker,Clint Capela
5682,2018_20171116_PHO,16/11/2017,PHO,1.0,False,Tyler Ulis,Devin Booker,Josh Jackson,Dragan Bender,Greg Monroe
5683,2018_20171117_UTA,17/11/2017,UTA,0.0,False,Raul Neto,Rodney Hood,Joe Ingles,Jonas Jerebko,Derrick Favors
5684,2018_20171117_BRK,17/11/2017,BRK,1.0,True,Spencer Dinwiddie,Allen Crabbe,Rondae Hollis-Jefferson,DeMarre Carroll,Tyler Zeller
5685,2018_20171117_CHO,17/11/2017,CHO,0.0,False,Kemba Walker,Nicolas Batum,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard
5686,2018_20171117_CHI,17/11/2017,CHI,1.0,True,Kris Dunn,Justin Holiday,Quincy Pondexter,Lauri Markkanen,Robin Lopez
5687,2018_20171117_LAC,17/11/2017,LAC,0.0,False,Jawun Evans,Lou Williams,Wesley Johnson,Blake Griffin,DeAndre Jordan
5688,2018_20171117_CLE,17/11/2017,CLE,1.0,True,Jose Calderon,Dwyane Wade,Jae Crowder,LeBron James,Kevin Love
5689,2018_20171117_MIN,17/11/2017,MIN,0.0,True,Jeff Teague,Jimmy Butler,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns
5690,2018_20171117_DAL,17/11/2017,DAL,1.0,False,Dennis Smith Jr.,Yogi Ferrell,Wesley Matthews,Harrison Barnes,Dirk Nowitzki
5691,2018_20171117_NOP,17/11/2017,NOP,0.0,False,Jameer Nelson,Jrue Holiday,Darius Miller,Anthony Davis,DeMarcus Cousins
5692,2018_20171117_DEN,17/11/2017,DEN,1.0,True,Jamal Murray,Gary Harris,Wilson Chandler,Paul Millsap,Nikola Jokic
5693,2018_20171117_DET,17/11/2017,DET,0.0,False,Reggie Jackson,Avery Bradley,Stanley Johnson,Tobias Harris,Andre Drummond
5694,2018_20171117_IND,17/11/2017,IND,1.0,True,Darren Collison,Victor Oladipo,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis
5695,2018_20171117_PHO,17/11/2017,PHO,0.0,True,Tyler Ulis,Devin Booker,T.J. Warren,Dragan Bender,Alex Len
5696,2018_20171117_LAL,17/11/2017,LAL,1.0,False,Lonzo Ball,Kentavious Caldwell-Pope,Brandon Ingram,Kyle Kuzma,Brook Lopez
5697,2018_20171117_POR,17/11/2017,POR,0.0,False,Damian Lillard,CJ McCollum,Maurice Harkless,Noah Vonleh,Jusuf Nurkic
5698,2018_20171117_SAC,17/11/2017,SAC,1.0,True,George Hill,Garrett Temple,Buddy Hield,Skal Labissiere,Kosta Koufos
5699,2018_20171117_OKC,17/11/2017,OKC,0.0,False,Russell Westbrook,Andre Roberson,Paul George,Carmelo Anthony,Steven Adams
5700,2018_20171117_SAS,17/11/2017,SAS,1.0,True,Patty Mills,Danny Green,Kyle Anderson,Rudy Gay,LaMarcus Aldridge
5701,2018_20171117_NYK,17/11/2017,NYK,0.0,False,Jarrett Jack,Courtney Lee,Doug McDermott,Kristaps Porzingis,Enes Freedom
5702,2018_20171117_TOR,17/11/2017,TOR,1.0,True,Kyle Lowry,DeMar DeRozan,OG Anunoby,Pascal Siakam,Jonas Valanciunas
5703,2018_20171117_MIA,17/11/2017,MIA,0.0,True,Goran Dragic,Dion Waiters,Josh Richardson,James Johnson,Hassan Whiteside
5704,2018_20171117_WAS,17/11/2017,WAS,1.0,False,John Wall,Bradley Beal,Otto Porter Jr.,Markieff Morris,Marcin Gortat
5705,2018_20171118_BOS,18/11/2017,BOS,0.0,True,Kyrie Irving,Jaylen Brown,Jayson Tatum,Marcus Morris,Al Horford
5706,2018_20171118_ATL,18/11/2017,ATL,1.0,False,Dennis Schroder,Kent Bazemore,Taurean Prince,John Collins,Dewayne Dedmon
5707,2018_20171118_LAC,18/11/2017,LAC,0.0,False,Jawun Evans,Austin Rivers,Wesley Johnson,Blake Griffin,DeAndre Jordan
5708,2018_20171118_CHO,18/11/2017,CHO,1.0,True,Kemba Walker,Nicolas Batum,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard
5709,2018_20171118_MIL,18/11/2017,MIL,0.0,False,Malcolm Brogdon,Tony Snell,Khris Middleton,Giannis Antetokounmpo,Thon Maker
5710,2018_20171118_DAL,18/11/2017,DAL,1.0,True,J.J. Barea,Yogi Ferrell,Wesley Matthews,Harrison Barnes,Dwight Powell
5711,2018_20171118_HOU,18/11/2017,HOU,0.0,True,Chris Paul,James Harden,Trevor Ariza,Ryan Anderson,Clint Capela
5712,2018_20171118_MEM,18/11/2017,MEM,1.0,False,Mario Chalmers,Ben McLemore,Dillon Brooks,JaMychal Green,Marc Gasol
5713,2018_20171118_UTA,18/11/2017,UTA,0.0,True,Raul Neto,Rodney Hood,Joe Ingles,Jonas Jerebko,Derrick Favors
5714,2018_20171118_ORL,18/11/2017,ORL,1.0,False,Elfrid Payton,Arron Afflalo,Evan Fournier,Aaron Gordon,Nikola Vucevic
5715,2018_20171118_GSW,18/11/2017,GSW,0.0,True,Stephen Curry,Klay Thompson,Kevin Durant,Draymond Green,Zaza Pachulia
5716,2018_20171118_PHI,18/11/2017,PHI,1.0,False,Ben Simmons,J.J. Redick,Robert Covington,Dario Saric,Joel Embiid
5717,2018_20171118_SAC,18/11/2017,SAC,0.0,False,George Hill,Bogdan Bogdanovic,Jack Cooley,Zach Randolph,Willie Cauley-Stein
5718,2018_20171118_POR,18/11/2017,POR,1.0,True,Damian Lillard,CJ McCollum,Maurice Harkless,Noah Vonleh,Jusuf Nurkic
5719,2018_20171119_GSW,19/11/2017,GSW,0.0,True,Stephen Curry,Klay Thompson,Andre Iguodala,Draymond Green,Zaza Pachulia
5720,2018_20171119_BRK,19/11/2017,BRK,1.0,False,Spencer Dinwiddie,Allen Crabbe,Rondae Hollis-Jefferson,DeMarre Carroll,Tyler Zeller
5721,2018_20171119_DEN,19/11/2017,DEN,0.0,False,Emmanuel Mudiay,Gary Harris,Wilson Chandler,Juancho Hernangomez,Mason Plumlee
5722,2018_20171119_LAL,19/11/2017,LAL,1.0,True,Lonzo Ball,Kentavious Caldwell-Pope,Brandon Ingram,Kyle Kuzma,Julius Randle
5723,2018_20171119_IND,19/11/2017,IND,0.0,True,Darren Collison,Victor Oladipo,Bojan Bogdanovic,Thaddeus Young,Myles Turner
5724,2018_20171119_MIA,19/11/2017,MIA,1.0,False,Goran Dragic,Dion Waiters,Josh Richardson,James Johnson,Hassan Whiteside
5725,2018_20171119_DET,19/11/2017,DET,0.0,True,Reggie Jackson,Avery Bradley,Stanley Johnson,Tobias Harris,Andre Drummond
