,ID,date,Tm,home,won,PG1,SG1,SF1,PF1,C1,PG2,SG2,SF2,PF2,C2,PG3,SG3,SF3,PF3,C3
11,2016_20151028_UTA,28/10/2015,UTA,0.0,False,Raul Neto,Rodney Hood,Gordon Hayward,Derrick Favors,Rudy Gobert,Trey Burke,Alec Burks,Joe Ingles,Trey Lyles,,,Elijah Millsap,,,
12,2016_20151028_DET,28/10/2015,DET,1.0,True,Reggie Jackson,Kentavious Caldwell-Pope,Marcus Morris,Ersan Ilyasova,Andre Drummond,Steve Blake,Jodie Meeks,Stanley Johnson,Anthony Tolliver,Aron Baynes,,,Reggie Bullock,,
13,2016_20151028_DEN,28/10/2015,DEN,0.0,True,Emmanuel Mudiay,Gary Harris,Danilo Gallinari,Kenneth Faried,Joffrey Lauvergne,Jameer Nelson,Will Barton,Mike Miller,Darrell Arthur,Nikola Jokic,Erick Green,Randy Foye,,,
14,2016_20151028_HOU,28/10/2015,HOU,1.0,False,Ty Lawson,James Harden,Trevor Ariza,Terrence Jones,Clint Capela,Patrick Beverley,Jason Terry,Corey Brewer,Montrezl Harrell,,,,K.J. McDaniels,Sam Dekker,
15,2016_20151028_MIN,28/10/2015,MIN,0.0,True,Ricky Rubio,Kevin Martin,Andrew Wiggins,Nemanja Bjelica,Karl-Anthony Towns,,Zach LaVine,Shabazz Muhammad,Kevin Garnett,Gorgui Dieng,,,Tayshaun Prince,Adreian Payne,
16,2016_20151028_LAL,28/10/2015,LAL,1.0,False,D'Angelo Russell,Jordan Clarkson,Kobe Bryant,Julius Randle,Roy Hibbert,Marcelo Huertas,Lou Williams,,Ryan Kelly,,,Nick Young,,Brandon Bass,
17,2016_20151028_CLE,28/10/2015,CLE,0.0,True,Mo Williams,J.R. Smith,LeBron James,Kevin Love,Timofey Mozgov,Matthew Dellavedova,Jared Cunningham,Richard Jefferson,Tristan Thompson,Anderson Varejao,,Joe Harris,James Jones,,Sasha Kaun
18,2016_20151028_MEM,28/10/2015,MEM,1.0,False,Mike Conley,Courtney Lee,Jeff Green,Zach Randolph,Marc Gasol,Beno Udrih,Tony Allen,Matt Barnes,Brandan Wright,,Russ Smith,Jordan Adams,,JaMychal Green,
19,2016_20151028_CHO,28/10/2015,CHO,0.0,False,Kemba Walker,Jeremy Lin,Nicolas Batum,Marvin Williams,Cody Zeller,Brian Roberts,,P.J. Hairston,Spencer Hawes,Al Jefferson,,,,,Frank Kaminsky
20,2016_20151028_MIA,28/10/2015,MIA,1.0,True,Goran Dragic,Gerald Green,Justise Winslow,Chris Bosh,Hassan Whiteside,Mario Chalmers,Dwyane Wade,,Luol Deng,,,,,Josh McRoberts,
21,2016_20151028_NYK,28/10/2015,NYK,0.0,True,Langston Galloway,Sasha Vujacic,Carmelo Anthony,Kristaps Porzingis,Robin Lopez,Jerian Grant,,Derrick Williams,Kyle O'Quinn,,Jose Calderon,,Cleanthony Early,Lance Thomas,
22,2016_20151028_MIL,28/10/2015,MIL,1.0,False,Michael Carter-Williams,Khris Middleton,Damien Inglis,Chris Copeland,Greg Monroe,Greivis Vasquez,Jerryd Bayless,,Johnny O'Bryant,John Henson,,Rashad Vaughn,,,Miles Plumlee
23,2016_20151028_SAS,28/10/2015,SAS,0.0,False,Tony Parker,Danny Green,Kawhi Leonard,LaMarcus Aldridge,Tim Duncan,Patty Mills,Manu Ginobili,Kyle Anderson,Boris Diaw,,,,,David West,
24,2016_20151028_OKC,28/10/2015,OKC,1.0,True,Russell Westbrook,Anthony Morrow,Kevin Durant,Serge Ibaka,Steven Adams,D.J. Augustin,Dion Waiters,,Nick Collison,Enes Freedom,,Andre Roberson,,,
25,2016_20151028_WAS,28/10/2015,WAS,0.0,True,John Wall,Bradley Beal,Otto Porter Jr.,Kris Humphries,Marcin Gortat,Ramon Sessions,Gary Neal,,Drew Gooden,,,,,Nene,
26,2016_20151028_ORL,28/10/2015,ORL,1.0,False,Elfrid Payton,Victor Oladipo,Evan Fournier,Tobias Harris,Nikola Vucevic,C.J. Watson,,Mario Hezonja,Aaron Gordon,Dewayne Dedmon,,,,,Jason Smith
27,2016_20151028_DAL,28/10/2015,DAL,0.0,True,Raymond Felton,John Jenkins,Wesley Matthews,Dirk Nowitzki,Zaza Pachulia,J.J. Barea,,Jeremy Evans,Dwight Powell,Salah Mejri,Devin Harris,,Justin Anderson,Charlie Villanueva,
28,2016_20151028_PHO,28/10/2015,PHO,1.0,False,Eric Bledsoe,Brandon Knight,T.J. Warren,Jon Leuer,Tyson Chandler,Archie Goodwin,Devin Booker,P.J. Tucker,Mirza Teletovic,Alex Len,Ronnie Price,Sonny Weems,,Markieff Morris,
29,2016_20151028_NOP,28/10/2015,NOP,0.0,False,Ish Smith,Eric Gordon,Dante Cunningham,Ryan Anderson,Anthony Davis,Jrue Holiday,,Alonzo Gee,,Kendrick Perkins,Nate Robinson,,,,Alexis Ajinca
30,2016_20151028_POR,28/10/2015,POR,1.0,True,Damian Lillard,CJ McCollum,Al-Farouq Aminu,Meyers Leonard,Mason Plumlee,,Allen Crabbe,Maurice Harkless,Ed Davis,,,,,Noah Vonleh,
31,2016_20151028_LAC,28/10/2015,LAC,0.0,True,Chris Paul,J.J. Redick,Paul Pierce,Blake Griffin,DeAndre Jordan,,Jamal Crawford,Lance Stephenson,Josh Smith,Cole Aldrich,,Austin Rivers,Wesley Johnson,,
32,2016_20151028_SAC,28/10/2015,SAC,1.0,False,Darren Collison,Marco Belinelli,Rudy Gay,Omri Casspi,DeMarcus Cousins,Rajon Rondo,Ben McLemore,Caron Butler,,Kosta Koufos,,James Anderson,,,Willie Cauley-Stein
33,2016_20151028_IND,28/10/2015,IND,0.0,False,George Hill,Monta Ellis,Paul George,Lavoy Allen,Ian Mahinmi,Rodney Stuckey,,C.J. Miles,,Jordan Hill,Joe Young,,Chase Budinger,,
34,2016_20151028_TOR,28/10/2015,TOR,1.0,True,Kyle Lowry,DeMar DeRozan,DeMarre Carroll,Patrick Patterson,Jonas Valanciunas,,Cory Joseph,Terrence Ross,Luis Scola,Bismack Biyombo,,,,James Johnson,
35,2016_20151029_MEM,29/10/2015,MEM,0.0,True,Mike Conley,Courtney Lee,Jeff Green,Zach Randolph,Marc Gasol,Beno Udrih,Tony Allen,Matt Barnes,Brandan Wright,,,,,JaMychal Green,
36,2016_20151029_IND,29/10/2015,IND,1.0,False,George Hill,Monta Ellis,Paul George,Lavoy Allen,Ian Mahinmi,Rodney Stuckey,,C.J. Miles,,Jordan Hill,,,Chase Budinger,,Myles Turner
37,2016_20151029_DAL,29/10/2015,DAL,0.0,False,Raymond Felton,John Jenkins,Jeremy Evans,Dirk Nowitzki,Zaza Pachulia,Devin Harris,,Justin Anderson,Charlie Villanueva,Salah Mejri,J.J. Barea,,,Dwight Powell,
38,2016_20151029_LAC,29/10/2015,LAC,1.0,True,Chris Paul,Austin Rivers,Wesley Johnson,Blake Griffin,DeAndre Jordan,Pablo Prigioni,J.J. Redick,Lance Stephenson,Josh Smith,Cole Aldrich,,Jamal Crawford,Paul Pierce,Luc Mbah a Moute,
39,2016_20151029_ATL,29/10/2015,ATL,0.0,True,Jeff Teague,Kyle Korver,Kent Bazemore,Paul Millsap,Al Horford,Dennis Schroder,Lamar Patterson,,Mike Scott,Tiago Splitter,,Justin Holiday,,,Edy Tavares
40,2016_20151029_NYK,29/10/2015,NYK,1.0,False,Jerian Grant,Sasha Vujacic,Carmelo Anthony,Kristaps Porzingis,Robin Lopez,Langston Galloway,,Derrick Williams,Lance Thomas,,Jose Calderon,,Cleanthony Early,Kyle O'Quinn,
41,2016_20151030_CHO,30/10/2015,CHO,0.0,False,Kemba Walker,Jeremy Lin,Nicolas Batum,Marvin Williams,Al Jefferson,,Jeremy Lamb,P.J. Hairston,Spencer Hawes,Cody Zeller,,,,,Frank Kaminsky
42,2016_20151030_ATL,30/10/2015,ATL,1.0,True,Jeff Teague,Lamar Patterson,Kent Bazemore,Paul Millsap,Al Horford,Dennis Schroder,,Thabo Sefolosha,Mike Scott,Tiago Splitter,,,,,
43,2016_20151030_TOR,30/10/2015,TOR,0.0,True,Kyle Lowry,DeMar DeRozan,DeMarre Carroll,Patrick Patterson,Jonas Valanciunas,,Cory Joseph,Terrence Ross,Luis Scola,Bismack Biyombo,,,,James Johnson,
44,2016_20151030_BOS,30/10/2015,BOS,1.0,False,Isaiah Thomas,Avery Bradley,Jae Crowder,Amir Johnson,Kelly Olynyk,Marcus Smart,Evan Turner,,David Lee,Tyler Zeller,,,,Jared Sullinger,
45,2016_20151030_MIA,30/10/2015,MIA,0.0,False,Goran Dragic,Dwyane Wade,Justise Winslow,Chris Bosh,Hassan Whiteside,Mario Chalmers,Gerald Green,James Ennis III,Luol Deng,Amar'e Stoudemire,,Tyler Johnson,,Josh McRoberts,
46,2016_20151030_CLE,30/10/2015,CLE,1.0,True,Matthew Dellavedova,J.R. Smith,LeBron James,Kevin Love,Timofey Mozgov,Mo Williams,Jared Cunningham,Richard Jefferson,Tristan Thompson,Anderson Varejao,,Joe Harris,James Jones,,Sasha Kaun
47,2016_20151030_MIN,30/10/2015,MIN,0.0,True,Ricky Rubio,Kevin Martin,Andrew Wiggins,Nemanja Bjelica,Karl-Anthony Towns,,Zach LaVine,Tayshaun Prince,Kevin Garnett,Gorgui Dieng,,,Shabazz Muhammad,,
48,2016_20151030_DEN,30/10/2015,DEN,1.0,False,Emmanuel Mudiay,Will Barton,Danilo Gallinari,Kenneth Faried,Nikola Jokic,Jameer Nelson,Gary Harris,Mike Miller,Darrell Arthur,Joffrey Lauvergne,Erick Green,Randy Foye,,,
49,2016_20151030_CHI,30/10/2015,CHI,0.0,False,Derrick Rose,Jimmy Butler,Tony Snell,Nikola Mirotic,Pau Gasol,Aaron Brooks,E'Twaun Moore,Doug McDermott,Taj Gibson,Joakim Noah,,,,,
50,2016_20151030_DET,30/10/2015,DET,1.0,True,Reggie Jackson,Kentavious Caldwell-Pope,Marcus Morris,Anthony Tolliver,Andre Drummond,Steve Blake,,Reggie Bullock,Ersan Ilyasova,Aron Baynes,,,Stanley Johnson,,
51,2016_20151030_GSW,30/10/2015,GSW,0.0,True,Stephen Curry,Klay Thompson,Andre Iguodala,Draymond Green,Festus Ezeli,Shaun Livingston,Leandro Barbosa,Harrison Barnes,James Michael McAdoo,Marreese Speights,,Brandon Rush,,,Jason Thompson
52,2016_20151030_HOU,30/10/2015,HOU,1.0,False,Ty Lawson,James Harden,Trevor Ariza,Montrezl Harrell,Dwight Howard,Patrick Beverley,,Corey Brewer,Terrence Jones,Clint Capela,,,K.J. McDaniels,Sam Dekker,
53,2016_20151030_WAS,30/10/2015,WAS,0.0,True,John Wall,Bradley Beal,Otto Porter Jr.,Jared Dudley,Marcin Gortat,Ramon Sessions,Gary Neal,Kelly Oubre Jr.,Nene,,,,Garrett Temple,Kris Humphries,
54,2016_20151030_MIL,30/10/2015,MIL,1.0,False,Michael Carter-Williams,Khris Middleton,Damien Inglis,Johnny O'Bryant,Greg Monroe,Giannis Antetokounmpo,Jerryd Bayless,,Chris Copeland,Miles Plumlee,Greivis Vasquez,,,,
55,2016_20151030_OKC,30/10/2015,OKC,0.0,True,Russell Westbrook,Dion Waiters,Kevin Durant,Serge Ibaka,Steven Adams,D.J. Augustin,Andre Roberson,Kyle Singler,,Enes Freedom,,Anthony Morrow,,,
56,2016_20151030_ORL,30/10/2015,ORL,1.0,False,Elfrid Payton,Victor Oladipo,Evan Fournier,Tobias Harris,Nikola Vucevic,C.J. Watson,,Mario Hezonja,Aaron Gordon,Dewayne Dedmon,Shabazz Napier,,,,
57,2016_20151030_UTA,30/10/2015,UTA,0.0,True,Trey Burke,Alec Burks,Gordon Hayward,Derrick Favors,Rudy Gobert,Raul Neto,Rodney Hood,Joe Ingles,Trevor Booker,Tibor Pleiss,,Elijah Millsap,Chris Johnson,Trey Lyles,
58,2016_20151030_PHI,30/10/2015,PHI,1.0,False,T.J. McConnell,Hollis Thompson,JaKarr Sampson,Jerami Grant,Jahlil Okafor,,Isaiah Canaan,,Richaun Holmes,Nerlens Noel,,Nik Stauskas,,Christian Wood,
59,2016_20151030_POR,30/10/2015,POR,0.0,False,Damian Lillard,CJ McCollum,Al-Farouq Aminu,Noah Vonleh,Mason Plumlee,Tim Frazier,Allen Crabbe,Maurice Harkless,Ed Davis,,,Pat Connaughton,,Meyers Leonard,
60,2016_20151030_PHO,30/10/2015,PHO,1.0,True,Eric Bledsoe,Brandon Knight,P.J. Tucker,Markieff Morris,Tyson Chandler,Ronnie Price,Sonny Weems,T.J. Warren,Jon Leuer,Alex Len,Archie Goodwin,Devin Booker,,Mirza Teletovic,
61,2016_20151030_LAL,30/10/2015,LAL,0.0,False,D'Angelo Russell,Jordan Clarkson,Kobe Bryant,Ryan Kelly,Roy Hibbert,Marcelo Huertas,Lou Williams,Anthony Brown,Brandon Bass,Tarik Black,,Nick Young,,Julius Randle,Robert Sacre
62,2016_20151030_SAC,30/10/2015,SAC,1.0,True,Darren Collison,Ben McLemore,Rudy Gay,Omri Casspi,Willie Cauley-Stein,Rajon Rondo,Marco Belinelli,,Eric Moreland,DeMarcus Cousins,Seth Curry,James Anderson,,,Kosta Koufos
63,2016_20151030_BRK,30/10/2015,BRK,0.0,False,Jarrett Jack,Wayne Ellington,Rondae Hollis-Jefferson,Thaddeus Young,Brook Lopez,Shane Larkin,Markel Brown,Joe Johnson,Thomas Robinson,Andrea Bargnani,Donald Sloan,,Bojan Bogdanovic,,
64,2016_20151030_SAS,30/10/2015,SAS,1.0,True,Tony Parker,Danny Green,Kawhi Leonard,LaMarcus Aldridge,Tim Duncan,Patty Mills,Manu Ginobili,Rasual Butler,Boris Diaw,Boban Marjanovic,Ray McCallum,,Kyle Anderson,David West,
65,2016_20151031_UTA,31/10/2015,UTA,0.0,True,Trey Burke,Rodney Hood,Gordon Hayward,Derrick Favors,Rudy Gobert,Raul Neto,Alec Burks,Joe Ingles,Trevor Booker,Jeff Withey,,Elijah Millsap,Chris Johnson,Trey Lyles,
66,2016_20151031_IND,31/10/2015,IND,1.0,False,George Hill,Monta Ellis,Paul George,Lavoy Allen,Ian Mahinmi,Rodney Stuckey,,C.J. Miles,Shayne Whittington,Myles Turner,Joe Young,,Chase Budinger,,
67,2016_20151031_SAC,31/10/2015,SAC,0.0,False,Darren Collison,Marco Belinelli,Rudy Gay,Omri Casspi,Kosta Koufos,Rajon Rondo,Ben McLemore,Caron Butler,,Willie Cauley-Stein,,,,,DeMarcus Cousins
68,2016_20151031_LAC,31/10/2015,LAC,1.0,True,Chris Paul,J.J. Redick,Lance Stephenson,Blake Griffin,DeAndre Jordan,,Jamal Crawford,Paul Pierce,Josh Smith,,,Austin Rivers,Wesley Johnson,Luc Mbah a Moute,
69,2016_20151031_BRK,31/10/2015,BRK,0.0,False,Jarrett Jack,Markel Brown,Bojan Bogdanovic,Thaddeus Young,Brook Lopez,Shane Larkin,Wayne Ellington,Joe Johnson,Thomas Robinson,Andrea Bargnani,,,Rondae Hollis-Jefferson,,
70,2016_20151031_MEM,31/10/2015,MEM,1.0,True,Mike Conley,Courtney Lee,Jeff Green,Zach Randolph,Marc Gasol,Beno Udrih,Tony Allen,Matt Barnes,Brandan Wright,,,,,JaMychal Green,
71,2016_20151031_GSW,31/10/2015,GSW,0.0,True,Stephen Curry,Klay Thompson,Harrison Barnes,Draymond Green,Festus Ezeli,Shaun Livingston,Leandro Barbosa,Andre Iguodala,James Michael McAdoo,Marreese Speights,,Brandon Rush,,,
72,2016_20151031_NOP,31/10/2015,NOP,1.0,False,Jrue Holiday,Eric Gordon,Luke Babbitt,Ryan Anderson,Anthony Davis,Toney Douglas,,Dante Cunningham,,Omer Asik,Ish Smith,,Alonzo Gee,,Alexis Ajinca
73,2016_20151031_PHO,31/10/2015,PHO,0.0,True,Eric Bledsoe,Brandon Knight,P.J. Tucker,Markieff Morris,Tyson Chandler,Ronnie Price,Sonny Weems,T.J. Warren,Jon Leuer,Alex Len,,,,Mirza Teletovic,
74,2016_20151031_POR,31/10/2015,POR,1.0,False,Damian Lillard,CJ McCollum,Al-Farouq Aminu,Meyers Leonard,Mason Plumlee,Tim Frazier,Allen Crabbe,Maurice Harkless,Ed Davis,,,,,Noah Vonleh,
75,2016_20151031_NYK,31/10/2015,NYK,0.0,True,Langston Galloway,Sasha Vujacic,Carmelo Anthony,Lance Thomas,Robin Lopez,Jerian Grant,,Derrick Williams,Kristaps Porzingis,,Jose Calderon,,,Kyle O'Quinn,
76,2016_20151031_WAS,31/10/2015,WAS,1.0,False,John Wall,Bradley Beal,Otto Porter Jr.,Drew Gooden,Marcin Gortat,Ramon Sessions,Gary Neal,,Nene,DeJuan Blair,,,,Jared Dudley,
77,2016_20151101_SAS,01/11/2015,SAS,0.0,True,Tony Parker,Danny Green,Kawhi Leonard,LaMarcus Aldridge,Tim Duncan,Patty Mills,Manu Ginobili,Rasual Butler,Boris Diaw,,,,Kyle Anderson,David West,
78,2016_20151101_BOS,01/11/2015,BOS,1.0,False,Marcus Smart,Avery Bradley,Jae Crowder,Amir Johnson,Kelly Olynyk,Isaiah Thomas,Evan Turner,,Jared Sullinger,Tyler Zeller,,,,David Lee,
79,2016_20151101_ORL,01/11/2015,ORL,0.0,False,Elfrid Payton,Victor Oladipo,Evan Fournier,Aaron Gordon,Nikola Vucevic,Shabazz Napier,,Mario Hezonja,Tobias Harris,Jason Smith,C.J. Watson,,,Channing Frye,
80,2016_20151101_CHI,01/11/2015,CHI,1.0,True,Derrick Rose,Jimmy Butler,Tony Snell,Nikola Mirotic,Joakim Noah,Aaron Brooks,E'Twaun Moore,Doug McDermott,Taj Gibson,Pau Gasol,,,,,
81,2016_20151101_ATL,01/11/2015,ATL,0.0,True,Jeff Teague,Kyle Korver,Kent Bazemore,Paul Millsap,Al Horford,Dennis Schroder,Lamar Patterson,Thabo Sefolosha,Mike Scott,Tiago Splitter,,,,,
82,2016_20151101_CHO,01/11/2015,CHO,1.0,False,Kemba Walker,Jeremy Lin,Nicolas Batum,Marvin Williams,Al Jefferson,,Jeremy Lamb,P.J. Hairston,Spencer Hawes,Cody Zeller,,,,,Frank Kaminsky
83,2016_20151101_DAL,01/11/2015,DAL,0.0,True,Deron Williams,,Wesley Matthews,Dirk Nowitzki,Zaza Pachulia,Raymond Felton,,Chandler Parsons,Dwight Powell,,J.J. Barea,,Jeremy Evans,Charlie Villanueva,
84,2016_20151101_LAL,01/11/2015,LAL,1.0,False,D'Angelo Russell,Jordan Clarkson,Kobe Bryant,Julius Randle,Roy Hibbert,Marcelo Huertas,Lou Williams,,Brandon Bass,,,Nick Young,,Ryan Kelly,
85,2016_20151101_HOU,01/11/2015,HOU,0.0,False,Ty Lawson,James Harden,Trevor Ariza,Montrezl Harrell,Clint Capela,Patrick Beverley,Marcus Thornton,Corey Brewer,,Chuck Hayes,,Jason Terry,,,
86,2016_20151101_MIA,01/11/2015,MIA,1.0,True,Goran Dragic,Dwyane Wade,Justise Winslow,Luol Deng,Hassan Whiteside,Mario Chalmers,Tyler Johnson,,Chris Bosh,,,Gerald Green,,Josh McRoberts,
87,2016_20151101_DEN,01/11/2015,DEN,0.0,False,Jameer Nelson,Gary Harris,Danilo Gallinari,Darrell Arthur,Nikola Jokic,Emmanuel Mudiay,Will Barton,Mike Miller,Kenneth Faried,Joffrey Lauvergne,Erick Green,Randy Foye,,,J.J. Hickson
88,2016_20151101_OKC,01/11/2015,OKC,1.0,True,Russell Westbrook,Dion Waiters,Kevin Durant,Serge Ibaka,Steven Adams,D.J. Augustin,Andre Roberson,Kyle Singler,Nick Collison,Enes Freedom,Cameron Payne,Anthony Morrow,,Mitch McGary,
89,2016_20151101_MIL,01/11/2015,MIL,0.0,False,Giannis Antetokounmpo,Khris Middleton,Damien Inglis,Johnny O'Bryant,Greg Monroe,Michael Carter-Williams,Jerryd Bayless,,Chris Copeland,Miles Plumlee,Greivis Vasquez,Rashad Vaughn,,,
90,2016_20151101_TOR,01/11/2015,TOR,1.0,True,Kyle Lowry,DeMar DeRozan,DeMarre Carroll,Patrick Patterson,Jonas Valanciunas,Delon Wright,Cory Joseph,Terrence Ross,Luis Scola,Bismack Biyombo,,Norman Powell,,Anthony Bennett,
91,2016_20151102_MIL,02/11/2015,MIL,0.0,True,Giannis Antetokounmpo,Jerryd Bayless,,Johnny O'Bryant,Greg Monroe,Greivis Vasquez,Khris Middleton,,Chris Copeland,Miles Plumlee,Michael Carter-Williams,,,,
92,2016_20151102_BRK,02/11/2015,BRK,1.0,False,Jarrett Jack,Markel Brown,Joe Johnson,Thaddeus Young,Brook Lopez,Shane Larkin,Wayne Ellington,Bojan Bogdanovic,Thomas Robinson,Andrea Bargnani,,,Rondae Hollis-Jefferson,,
93,2016_20151102_MEM,02/11/2015,MEM,0.0,False,Mike Conley,Courtney Lee,Matt Barnes,JaMychal Green,Marc Gasol,Beno Udrih,Vince Carter,Jeff Green,Brandan Wright,,Russ Smith,Tony Allen,,Zach Randolph,
94,2016_20151102_GSW,02/11/2015,GSW,1.0,True,Stephen Curry,Klay Thompson,Andre Iguodala,Draymond Green,Festus Ezeli,Shaun Livingston,Leandro Barbosa,Harrison Barnes,James Michael McAdoo,Marreese Speights,,Brandon Rush,,,Jason Thompson
95,2016_20151102_OKC,02/11/2015,OKC,0.0,False,Russell Westbrook,Dion Waiters,Kevin Durant,Serge Ibaka,Enes Freedom,D.J. Augustin,Andre Roberson,Kyle Singler,,Steven Adams,,Anthony Morrow,,,
96,2016_20151102_HOU,02/11/2015,HOU,1.0,True,Ty Lawson,James Harden,Trevor Ariza,Montrezl Harrell,Dwight Howard,Patrick Beverley,Marcus Thornton,Corey Brewer,,Clint Capela,,,,,
97,2016_20151102_PHO,02/11/2015,PHO,0.0,False,Eric Bledsoe,Brandon Knight,P.J. Tucker,Markieff Morris,Tyson Chandler,Ronnie Price,Sonny Weems,T.J. Warren,Jon Leuer,Alex Len,,,,Mirza Teletovic,
98,2016_20151102_LAC,02/11/2015,LAC,1.0,True,Chris Paul,J.J. Redick,Paul Pierce,Blake Griffin,DeAndre Jordan,,Jamal Crawford,Lance Stephenson,Josh Smith,,,Austin Rivers,Wesley Johnson,Luc Mbah a Moute,
99,2016_20151102_POR,02/11/2015,POR,0.0,True,Damian Lillard,CJ McCollum,Al-Farouq Aminu,Meyers Leonard,Mason Plumlee,,Allen Crabbe,Maurice Harkless,Ed Davis,,,,,Noah Vonleh,
100,2016_20151102_MIN,02/11/2015,MIN,1.0,False,Ricky Rubio,Kevin Martin,Andrew Wiggins,Nemanja Bjelica,Karl-Anthony Towns,,Zach LaVine,Tayshaun Prince,Kevin Garnett,Gorgui Dieng,,,Shabazz Muhammad,,
101,2016_20151102_SAS,02/11/2015,SAS,0.0,True,Tony Parker,Danny Green,Kawhi Leonard,LaMarcus Aldridge,Tim Duncan,Patty Mills,Manu Ginobili,Kyle Anderson,Boris Diaw,Boban Marjanovic,Ray McCallum,,Rasual Butler,David West,
102,2016_20151102_NYK,02/11/2015,NYK,1.0,False,Langston Galloway,Sasha Vujacic,Carmelo Anthony,Kristaps Porzingis,Robin Lopez,Jerian Grant,,Derrick Williams,Kyle O'Quinn,Kevin Seraphin,Jose Calderon,,Cleanthony Early,Lance Thomas,
103,2016_20151102_CLE,02/11/2015,CLE,0.0,True,Matthew Dellavedova,Jared Cunningham,LeBron James,Kevin Love,Timofey Mozgov,Mo Williams,J.R. Smith,Richard Jefferson,Tristan Thompson,Anderson Varejao,,Joe Harris,James Jones,,
104,2016_20151102_PHI,02/11/2015,PHI,1.0,False,T.J. McConnell,Hollis Thompson,Robert Covington,Jerami Grant,Nerlens Noel,,Isaiah Canaan,JaKarr Sampson,Richaun Holmes,Jahlil Okafor,,Nik Stauskas,,Christian Wood,
105,2016_20151103_CHI,03/11/2015,CHI,0.0,False,Derrick Rose,Jimmy Butler,Doug McDermott,Nikola Mirotic,Pau Gasol,Aaron Brooks,E'Twaun Moore,Tony Snell,Taj Gibson,Joakim Noah,,,,Bobby Portis,Cameron Bairstow
106,2016_20151103_CHO,03/11/2015,CHO,1.0,True,Kemba Walker,Jeremy Lamb,Nicolas Batum,Marvin Williams,Al Jefferson,Brian Roberts,Jeremy Lin,P.J. Hairston,Spencer Hawes,Frank Kaminsky,,Troy Daniels,,Tyler Hansbrough,Cody Zeller
107,2016_20151103_TOR,03/11/2015,TOR,0.0,True,Kyle Lowry,DeMar DeRozan,DeMarre Carroll,Luis Scola,Jonas Valanciunas,,Cory Joseph,Terrence Ross,Patrick Patterson,Bismack Biyombo,,Norman Powell,,,
108,2016_20151103_DAL,03/11/2015,DAL,1.0,False,Deron Williams,,Wesley Matthews,Dirk Nowitzki,Zaza Pachulia,Devin Harris,,Chandler Parsons,Dwight Powell,Salah Mejri,J.J. Barea,,Justin Anderson,Charlie Villanueva,
109,2016_20151103_IND,03/11/2015,IND,0.0,True,George Hill,Monta Ellis,Paul George,Lavoy Allen,Jordan Hill,Rodney Stuckey,,C.J. Miles,,Myles Turner,,,Chase Budinger,,Ian Mahinmi
